0.00	0.0333
0.01	0.0442
0.02	0.0516
0.03	0.0575
0.04	0.0628
0.05	0.0660
0.06	0.0730
0.07	0.0725
0.08	0.0756
0.09	0.0778
0.10	0.0821
0.11	0.0837
0.12	0.0875
0.13	0.0919
0.14	0.0958
0.15	0.1005
0.16	0.1042
0.17	0.1085
0.18	0.1198
0.19	0.1263
0.20	0.1300
0.21	0.1379
0.22	0.1418
0.23	0.1493
0.24	0.1560
0.25	0.1635
0.26	0.1703
0.27	0.1756
0.28	0.1811
0.29	0.1966
0.30	0.2023
0.31	0.2110
0.32	0.2214
0.33	0.2312
0.34	0.2505
0.35	0.2581
0.36	0.2766
0.37	0.2918
0.38	0.3119
0.39	0.3325
0.40	0.3472
0.41	0.3803
0.42	0.3938
0.43	0.4397
0.44	0.4658
0.45	0.4931
0.46	0.5416
0.47	0.5963
0.48	0.6466
0.49	0.7041
0.50	0.7935
0.51	0.8735
0.52	0.9186
0.53	1.1203
0.54	1.1942
0.55	1.2933
0.56	1.4684
0.57	1.5943
0.58	1.6894
0.59	1.7903
0.60	1.8835
0.61	1.9830
0.62	1.9493
0.63	1.9270
0.64	1.9149
0.65	1.8740
0.66	1.8033
0.67	1.7528
0.68	1.7090
0.69	1.6689
0.70	1.6074
0.71	1.5698
0.72	1.5310
0.73	1.4974
0.74	1.4702
0.75	1.4461
0.76	1.4171
0.77	1.3861
0.78	1.3699
0.79	1.3406
0.80	1.3327
0.81	1.3084
0.82	1.2933
0.83	1.2735
0.84	1.2561
0.85	1.2418
0.86	1.2290
0.87	1.2164
0.88	1.2019
0.89	1.1917
0.90	1.1775
0.91	1.1653
0.92	1.1532
0.93	1.1424
0.94	1.1306
0.95	1.1192
0.96	1.1069
0.97	1.0956
0.98	1.0761
0.99	1.0333
1.00	1.0333
